"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"298","AC005838.2",0.114866566829401,-1.86120084115841,0.006,0.021,1,0.939806359078277,"AIDA003",0.00571091404538487,-6.96397098299922,12,0.0119461308405608
"300","AC005840.4",0.0854630358869504,2.13878842261486,0.012,0.002,1,1.06822168388564,"AIDA123",0.00390404277080809,-2.78652545449803,8,0.00890334931336372
"301","AC005841.1",4.47233538903143e-05,5.81049013400874,0.021,0,1,4.34946563532201,"AIDA023",4.47233538903143e-05,5.81049013400874,1,0.000247375257563093
"302","AC005842.1",0.0626412495070496,-0.928396112555696,0.028,0.058,1,1.2031395879775,"AIDA040",3.47385986917894e-06,-2.16274762694452,107,2.85304654770131e-05
"303","AC005856.1",0.391038556098641,0.856571889152518,0.012,0.006,1,0.407780419393522,"AIDA051",9.23023288094966e-05,-3.24420293933816,73,0.000451680901164984
"304","AC005899.6",0.0338513766535084,3.08064743678674,0.01,0,1,1.47042366491488,"AIDA184",0.00117912974857867,3.08064743678674,9,0.00348198069305156
"305","AC005899.8",0.0394461816237164,-1.87808364012417,0.005,0.023,1,1.40399502997062,"AIDA151",0.00132192583352188,3.2102579017633,12,0.00381065953874515
"306","AC005909.2",0.0104554941877569,-3.95587305010939,0,0.016,1,1.98065543506596,"AIDA062",0.0104554941877569,-3.95587305010939,1,0.0193468353221592
"308","AC005920.1",0.521627507477048,-0.963219904580402,0.014,0.03,1,0.282639514610303,"AIDA174",0.0260277507494756,3.55627404898105,29,0.0407364515425832
"311","AC005962.2",0.0358405856733186,1.14331804793581,0.019,0.004,1,1.44562490211783,"AIDA090",3.53436279431169e-05,-5.12374382890683,11,0.000205408477314994
"312","AC005972.3",0.0446479774715348,-3.20186246005671,0.001,0.013,1,1.35019820962754,"AIDA098",0.0149892076230894,-3.20186246005671,2,0.0259883191265046
"317","AC006033.2",0.569836003980702,0.447761051708793,0.014,0.009,1,0.244250114176641,"AIDA040",0.000109545188420291,4.36205109200331,27,0.000517470857326791
"320","AC006058.1",0.0241722818441765,-3.62071881090034,0,0.014,1,1.61668235060358,"AIDA084",0.0241722818441765,-3.62071881090034,1,0.0383313164514776
"321","AC006059.1",0.653697896192835,0.657109714888773,0.016,0.013,1,0.184622912729222,"AIDA017",0.00409038043557717,-6.15626560713715,103,0.00923641060920792
